label	Group	numOtus	Otu000001	Otu000002	Otu000003	Otu000004	Otu000005	Otu000006	Otu000007	Otu000008	Otu000009	Otu000010	Otu000011	Otu000012	Otu000013	Otu000014	Otu000015	Otu000016	Otu000017	Otu000018	Otu000019	Otu000020	Otu000021	Otu000022	Otu000023	Otu000024	Otu000025	Otu000026	Otu000027	Otu000028	Otu000029	Otu000030	Otu000031	Otu000032	Otu000033	Otu000034	Otu000035	Otu000036	Otu000037	Otu000038	Otu000039	Otu000040	Otu000041	Otu000042	Otu000043	Otu000044	Otu000045	Otu000046	Otu000047	Otu000048	Otu000049	Otu000050	Otu000051	Otu000052	Otu000053	Otu000054	Otu000055	Otu000056	Otu000057	Otu000058	Otu000059	Otu000060	Otu000061	Otu000062	Otu000063	Otu000064	Otu000065	Otu000066	Otu000067	Otu000068	Otu000069	Otu000070	Otu000071	Otu000072	Otu000073	Otu000074	Otu000075	Otu000076	Otu000077	Otu000078	Otu000079	Otu000080	Otu000081	Otu000082	Otu000083	Otu000084	Otu000085	Otu000086	Otu000087	Otu000088	Otu000089	Otu000090	Otu000091	Otu000092	Otu000093	Otu000094	Otu000095	Otu000096	Otu000097	Otu000098	Otu000099	Otu000100	Otu000101	Otu000102	Otu000103	Otu000104	Otu000105	Otu000106	Otu000107	Otu000108	Otu000109	Otu000110	Otu000111	Otu000112	Otu000113	Otu000114	Otu000115	Otu000116	Otu000117	Otu000118	Otu000119	Otu000120	Otu000121	Otu000122	Otu000123	Otu000124	Otu000125	Otu000126	Otu000127	Otu000128	Otu000129	Otu000130	Otu000131	Otu000132	Otu000133	Otu000134	Otu000135	Otu000137	Otu000138	Otu000139	Otu000140	Otu000141	Otu000142	Otu000143	Otu000144	Otu000145	Otu000146	Otu000147	Otu000148	Otu000149	Otu000150	Otu000151	Otu000152	Otu000153	Otu000154	Otu000155	Otu000156	Otu000157	Otu000158	Otu000159	Otu000160	Otu000161	Otu000162	Otu000163	Otu000164	Otu000165	Otu000166	Otu000167	Otu000168	Otu000169	Otu000170	Otu000171	Otu000172	Otu000173	Otu000174	Otu000175	Otu000176	Otu000177	Otu000178	Otu000179	Otu000180	Otu000181	Otu000183	Otu000184	Otu000185	Otu000188	Otu000189	Otu000190	Otu000191	Otu000192	Otu000193	Otu000195	Otu000198	Otu000199	Otu000200	Otu000201	Otu000202	Otu000203	Otu000205	Otu000206	Otu000208	Otu000209	Otu000210	Otu000211	Otu000212	Otu000213	Otu000214	Otu000216	Otu000217	Otu000218	Otu000221	Otu000223	Otu000224	Otu000225	Otu000227	Otu000231	Otu000232	Otu000233	Otu000234	Otu000235	Otu000236	Otu000237	Otu000238	Otu000239	Otu000241	Otu000243	Otu000244	Otu000245	Otu000246	Otu000247	Otu000248	Otu000249	Otu000250	Otu000253	Otu000254	Otu000255	Otu000256	Otu000257	Otu000258	Otu000259	Otu000260	Otu000261	Otu000262	Otu000263	Otu000264	Otu000267	Otu000268	Otu000269	Otu000270	Otu000271	Otu000272	Otu000274	Otu000275	Otu000276	Otu000277	Otu000278	Otu000279	Otu000281	Otu000282	Otu000283	Otu000284	Otu000285	Otu000286	Otu000287	Otu000288	Otu000290	Otu000291	Otu000294	Otu000295	Otu000296	Otu000297	Otu000298	Otu000299	Otu000300	Otu000301	Otu000302	Otu000304	Otu000305	Otu000306	Otu000307	Otu000310	Otu000311	Otu000313	Otu000314	Otu000316	Otu000317	Otu000318	Otu000319	Otu000320	Otu000322	Otu000324	Otu000325	Otu000326	Otu000328	Otu000330	Otu000331	Otu000333	Otu000334	Otu000336	Otu000337	Otu000338	Otu000339	Otu000340	Otu000342	Otu000345	Otu000347	Otu000348	Otu000350	Otu000351	Otu000355	Otu000356	Otu000358	Otu000360	Otu000361	Otu000363	Otu000364	Otu000365	Otu000366	Otu000368	Otu000369	Otu000370	Otu000371	Otu000372	Otu000374	Otu000375	Otu000378	Otu000379	Otu000381	Otu000386	Otu000389	Otu000395	Otu000400	Otu000407	Otu000409	Otu000435	Otu000449	Otu000461	
0.03	2003650	335	347	255	267	220	247	680	217	99	97	251	218	562	170	417	1	188	491	386	234	48	276	191	63	80	0	111	45	11	153	299	234	1	17	0	62	0	17	64	96	576	1	109	0	13	26	2	50	21	19	13	31	5	39	4	0	49	0	0	74	5	14	29	40	0	25	2	110	7	0	3	0	0	0	20	4	0	16	0	19	6	29	1	81	4	0	90	0	8	0	0	0	2	0	39	38	0	1	25	0	4	0	25	6	0	0	0	0	0	1	0	0	2	28	17	0	2	0	5	67	35	5	11	1	0	13	14	0	0	0	231	0	18	5	0	0	2	2	0	2	0	8	33	12	7	22	1	11	0	4	1	0	2	0	5	0	1	1	6	0	0	0	0	2	0	8	38	0	3	1	0	0	8	11	0	5	4	0	8	20	0	0	0	0	0	0	1	0	0	0	0	0	59	0	1	0	4	0	0	0	0	0	24	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	1	4	0	0	0	65	0	6	0	1	4	0	0	160	0	1	0	0	0	0	5	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	2	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	0	1	3	0	1	1	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	1	
0.03	2005650	335	559	661	1311	253	104	418	14	179	57	102	194	46	293	75	0	84	370	92	0	10	293	49	160	53	0	31	11	6	127	11	47	0	440	0	81	0	170	37	64	379	0	1	0	7	13	8	87	0	69	2	5	129	6	2	0	0	0	76	2	4	5	18	25	0	2	8	3	35	0	10	2	97	0	1	56	0	20	0	0	7	17	21	1	14	19	10	10	75	0	0	121	0	0	28	0	0	0	8	0	0	170	7	10	182	0	0	7	0	0	0	0	6	5	11	27	1	0	11	2	3	84	11	0	0	4	43	0	1	0	0	0	0	2	0	0	1	0	0	0	3	11	14	2	8	0	0	0	91	0	0	0	0	9	4	0	0	0	26	10	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	1	0	3	3	3	0	34	5	0	2	4	0	1	0	8	0	0	0	0	11	0	0	0	0	1	0	0	0	2	0	1	162	3	0	8	0	1	5	0	0	0	5	4	0	0	2	0	0	0	0	0	0	0	0	1	13	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	16	0	1	0	0	0	0	0	0	0	7	0	0	1	0	118	0	2	0	0	0	0	13	91	11	0	2	9	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	29	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	
0.03	2007660	335	151	222	727	556	347	68	779	670	75	24	195	88	18	5	16	794	170	383	0	106	117	30	0	30	5	52	7	54	28	35	3	5	68	5	166	365	0	81	2	36	112	0	0	74	103	87	27	464	14	4	293	4	0	0	0	0	0	0	0	2	43	0	0	76	2	1	3	1	39	6	0	1	111	15	9	188	1	6	0	0	6	41	1	293	1	1	0	16	14	126	0	31	1	0	0	0	6	49	2	0	0	6	44	0	3	2	2	2	0	0	3	4	31	61	8	0	4	20	10	0	1	14	1	0	0	12	0	0	0	0	0	0	31	0	0	3	3	0	12	7	0	0	1	28	0	0	0	0	19	2	1	4	0	0	0	36	0	35	66	0	0	0	5	0	8	15	20	2	0	0	0	0	25	2	0	24	0	0	0	13	0	0	11	1	1	10	0	0	0	4	1	0	0	0	0	76	0	0	0	7	0	0	0	5	0	0	0	12	0	0	0	5	0	1	1	0	0	2	0	5	0	1	0	0	0	0	1	2	0	13	11	20	3	0	0	10	0	0	0	0	0	0	0	0	3	0	0	0	0	0	8	0	0	4	0	0	0	0	0	0	3	0	0	0	0	7	4	0	6	0	0	0	0	0	14	1	1	0	1	4	0	1	0	4	0	0	54	9	0	0	2	0	0	0	0	0	0	16	0	0	0	0	6	0	0	0	0	0	0	3	0	1	0	1	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	
0.03	2009650	335	286	203	29	243	188	251	1183	224	100	240	81	253	42	23	1	68	60	112	144	33	169	58	263	212	0	61	24	2	15	12	56	1	30	0	62	11	86	35	3	240	0	0	0	151	29	0	36	0	23	2	151	39	15	117	0	2	93	0	0	2	15	21	8	323	3	4	12	3	0	13	0	125	0	1	20	0	8	0	0	30	1	0	0	12	132	76	8	1	0	0	182	1	0	15	3	0	29	2	0	14	0	14	7	38	0	0	2	0	0	101	67	4	0	3	13	2	5	1	2	34	3	4	0	0	3	18	0	42	30	0	0	58	3	0	0	0	0	0	4	0	4	9	72	4	4	0	18	0	1	3	8	1	9	51	26	1	1	0	2	8	0	62	0	1	0	0	0	12	1	0	0	0	0	0	3	2	13	1	15	8	11	0	0	0	4	1	0	2	0	13	0	4	0	0	75	9	12	0	0	1	0	0	0	0	5	2	0	5	2	5	94	0	0	0	0	0	0	7	0	0	3	0	0	0	12	0	0	2	8	2	0	0	2	0	0	2	0	13	0	0	6	0	2	0	0	16	0	0	0	0	0	29	0	0	0	0	1	63	1	3	0	1	0	0	0	0	2	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	6	7	0	0	0	0	0	0	0	11	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	16	4	0	0	10	1	0	6	0	11	0	18	0	0	0	0	11	0	
0.03	2013660	335	1312	5	185	572	1028	519	0	706	290	488	0	2	18	267	682	17	0	2	1	15	1	2	0	1	356	1	104	2	109	0	14	88	2	2	539	10	121	0	0	1	0	97	144	0	4	29	5	0	0	10	1	2	0	0	0	0	0	1	0	2	23	170	0	0	0	0	0	20	3	107	0	0	0	6	0	174	0	0	0	6	3	86	0	6	0	0	19	0	1	0	0	108	0	1	1	0	2	52	0	0	0	0	100	0	0	0	0	1	1	0	0	0	0	0	0	0	65	19	73	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	1	0	4	0	0	19	0	0	0	0	0	51	0	0	13	0	0	11	0	0	0	2	0	0	1	0	8	0	7	175	0	0	0	1	0	0	0	0	0	0	6	16	0	16	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	90	0	0	0	0	11	4	2	0	3	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	40	0	11	0	0	6	0	3	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	
0.03	2015650	335	154	484	701	5	577	510	229	181	137	143	254	45	112	400	143	113	647	1511	142	100	130	140	265	17	0	73	14	0	33	112	285	1	20	0	81	7	47	77	97	52	0	0	0	8	1	5	46	0	5	7	137	67	89	11	0	0	0	19	0	3	7	11	99	2	25	23	67	35	1	19	0	0	27	27	22	0	63	54	2	13	0	0	43	6	0	37	3	11	0	0	0	17	0	48	16	0	0	9	0	0	113	12	6	0	0	0	0	0	87	8	10	2	1	11	1	16	7	34	1	10	28	4	2	0	5	39	45	0	0	0	0	1	0	0	0	0	0	0	0	1	2	4	0	5	2	6	0	0	3	21	9	0	0	33	0	5	0	1	5	0	0	0	2	0	0	0	0	9	8	0	0	0	7	0	1	0	0	1	0	1	0	0	0	1	0	3	0	34	0	3	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	6	1	0	0	0	0	2	0	3	2	0	1	0	2	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	18	0	10	0	0	0	0	2	0	0	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	19	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	0	0	2	12	0	0	2	0	0	7	15	
0.03	2017660	335	98	39	110	344	1074	156	177	66	50	122	229	105	42	238	34	475	11	13	45	6	26	59	0	392	0	115	65	8	103	27	114	1	0	628	44	26	5	5	0	12	52	66	1	6	21	2	13	29	29	0	13	0	16	3	6	1	458	1	0	10	17	37	12	367	9	7	0	50	2	10	0	15	122	8	8	0	4	0	18	12	172	0	0	5	0	50	0	37	1	0	59	0	4	1	1	606	1	0	0	11	0	14	0	0	64	0	0	16	0	22	2	1	0	4	48	0	7	2	0	9	6	0	0	3	13	18	0	1	58	0	105	15	0	0	0	1	1	0	1	0	28	2	0	2	6	0	2	45	0	0	0	0	29	6	3	3	0	0	0	1	0	0	0	0	0	0	0	29	0	8	0	18	0	0	0	0	24	0	0	11	22	322	0	0	0	2	1	0	0	2	0	0	0	55	145	0	1	0	0	0	45	0	0	0	0	9	0	0	0	0	6	0	2	0	0	0	2	0	0	0	4	35	0	0	6	8	0	0	1	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	1	0	1	2	0	1	2	0	11	0	0	0	0	0	1	0	0	2	0	0	0	6	0	0	0	0	
0.03	2019651	335	327	131	120	12	297	94	122	679	345	549	266	76	180	211	1577	128	63	0	229	21	288	114	5	84	0	106	155	0	116	25	16	0	27	0	0	2	30	84	58	37	0	12	37	171	8	0	11	4	5	1	0	10	736	2	0	222	0	1	105	20	35	27	5	1	61	5	218	10	0	31	0	29	0	4	4	0	4	0	2	1	3	5	74	11	0	9	0	4	0	0	0	211	0	4	43	0	0	0	0	0	1	13	6	0	0	0	0	38	0	0	0	1	22	2	13	4	5	1	4	0	138	0	0	0	17	0	0	23	5	0	0	18	0	0	0	0	1	0	0	0	17	6	0	0	17	0	23	0	12	0	5	10	0	0	4	0	0	1	5	0	0	0	2	0	0	7	0	8	2	1	0	1	32	0	9	0	0	5	0	2	0	3	0	0	5	2	0	1	0	12	0	0	18	9	42	4	0	0	36	0	0	0	0	0	0	2	0	0	26	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	4	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	12	0	0	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
0.03	2023680	335	232	248	939	122	214	239	872	308	11	115	362	219	156	107	60	108	357	720	0	3	228	1	0	0	0	1	34	3	65	52	3	31	0	0	449	72	63	33	10	91	0	9	0	72	77	97	8	0	94	38	0	47	1	0	1	17	0	0	3	0	3	7	21	41	10	0	0	4	1	0	63	7	0	0	0	0	97	0	2	0	0	5	26	2	23	0	0	2	2	0	0	0	0	0	4	0	0	18	0	0	210	0	4	0	0	3	1	171	0	0	148	10	0	5	7	0	7	0	17	0	0	28	0	0	2	12	128	0	0	388	0	70	98	0	0	2	1	30	10	0	1	0	88	1	1	11	0	0	3	0	2	3	0	0	0	4	12	3	13	3	0	0	5	0	1	0	53	2	0	0	0	0	29	0	4	2	11	0	2	21	0	0	25	0	0	21	0	5	0	2	1	0	0	0	0	7	194	0	71	9	0	0	0	12	1	2	3	17	0	12	0	0	31	0	0	0	0	0	0	2	1	4	0	0	0	0	1	0	0	0	4	0	36	0	0	2	0	0	0	0	5	0	0	0	3	15	0	0	0	0	0	18	2	0	0	0	2	0	0	0	0	0	0	0	0	7	1	3	0	0	0	0	17	0	0	0	1	2	0	8	9	0	0	0	0	0	6	3	3	0	1	0	0	0	8	0	0	0	0	0	0	0	6	0	4	0	0	0	0	4	0	1	7	2	0	0	0	0	0	0	0	8	2	0	0	0	0	3	0	28	0	0	0	42	0	
0.03	2025653	335	1579	80	126	266	525	25	25	442	118	39	812	39	274	48	230	111	13	2	40	1518	128	234	30	1	0	48	10	219	0	6	0	34	65	212	78	27	5	34	0	8	129	0	274	6	51	2	11	3	12	32	1	37	0	0	0	0	109	0	0	0	3	14	0	3	0	11	3	44	0	6	0	0	0	106	0	14	2	0	0	6	2	0	0	0	0	0	6	4	2	0	0	238	0	0	1	0	1	5	0	0	0	1	4	2	0	28	0	0	15	2	4	0	24	0	0	0	20	0	8	1	0	3	1	0	3	0	0	2	0	0	0	0	0	0	0	0	2	0	0	10	0	0	2	16	0	11	0	0	2	0	1	0	0	16	0	0	3	0	0	0	14	0	0	1	37	0	4	11	0	2	0	1	0	0	0	1	0	1	0	3	5	0	3	0	5	1	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	69	0	0	355	0	2	1	0	45	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	9	3	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	148	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	1	0	3	0	0	2	1	3	0	0	138	2	223	0	0	0	3	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	
