	04_001_a	04_001_b	04_001_c	04_001_d	04_001_e	05_001_a	05_001_b	05_012_a	05_012_b	06_001_a	06_001_b	06_004_a	06_004_b	06_004_c	06_004_d	06_004_e	06_006_a	06_006_b	06_010_a	06_010_b	07_001_a	07_001_b	08_003_a	08_003_b	08_006_a	08_006_b	08_006_c	08_006_d	08_006_e	13_019_a	13_019_b	13_019_c	13_019_d	13_019_e	13_022_a	13_022_b	15_006_a	15_006_b	17_004_a	17_004_b
Actinobaculum_massiliense	8	0	0	0	1	1	4	44	0	174	888	31	0	0	0	1	7	1	43	0	3	0	78	1	20	0	56	0	0	353	0	0	0	0	32	0	3	4	3	6
Actinomyces_coleocanis	27	0	0	0	3	4	1	19	0	29	14	36	0	16	0	2	6	6	14	0	10	9	114	0	28	0	1	0	0	3	0	0	0	1	211	0	0	0	19	22
Actinomyces_europaeus	6	0	0	0	84	5	6	258	0	29	24	5	0	12	0	7	25	9	2	0	13	0	24	0	4	0	8	0	0	11	0	0	1	0	14	0	2	1	18	22
Actinomyces_neuii	29	0	0	1	13	19	5	25	0	74	53	31	1	83	0	37	11	8	12	0	38	25	117	1	18	0	82	3	0	9	2	0	0	0	33	1	0	1	23	584
Actinomyces_turicensis	37	0	0	0	5	15	81	334	26	48	43	221	1	45	0	27	25	353	56	0	21	23	162	0	27	1	24	0	0	223	0	0	1	1	86	0	29	10	19	181
Actinomyces_urogenitalis	0	0	0	0	0	0	1	11	7	8	17	16	0	7	0	27	6	650	186	0	4	0	14	1	74	0	7	0	0	15	0	1	0	0	8	1	6	6	0	2
Actinotignum_schaalii	7	0	0	0	0	0	1	45	1	24	9	8	0	0	0	1	0	0	97	0	8	0	78	0	4	0	30	0	0	72	0	0	0	0	14	0	0	2	9	44
Mobiluncus_curtisii	127	3	5	3	4329	108	79	93850	15	527	3259	7337	37	60	26	35	669	732	2216	4	250	246	29597	6	624	6	741	26	28	200206	37	6	33	15	32460	6	221	406	285	676
Mobiluncus_mulieris	158243	144	164	206	129	22	8	529	36	429766	2123168	1060574	8	667	38	4	33745	9783	593	132	242	177	73	13	357	115	41	45	0	3681	105	5	402	0	132	4	1	0	19	4
Bifidobacterium_breve	639	0	0	0	204	60	71	375	450	83	41	34	61	123	1	155	244	424	1070	0	483	35	5256	1	4120	0	19	1	0	2293	0	1	5	0	47	0	138	120	119	139
