	Hw	Bg	Bd	Bcw	Jw	Jl	Bp	Bac	Bch	Fc	Fdw	Faw	Bc	Fp	Fpl	Fal	Fdl	Hh	Hg	Ba	Jm	Hal	Hpl	Ed	Hs	Hl	Mass	Sex	Habitat
19	20.90	24.60	26.40	8.90	9.70	28.30	83.34	33.28	14.95	34.17	25.88	20.98	8.64	36.60	26.16	23.53	27.95	21.57	33.72	102.83	22.36	22.35	10.39	9.81	51.95	49.88	125	1	2
23	19.50	24.30	25.00	8.40	8.60	26.60	75.59	32.87	15.29	28.93	25.21	19.02	7.61	32.17	22.91	20.58	26.23	23.43	31.77	99.37	19.27	27.06	8.04	9.81	48.48	46.32	110	2	1
24	20.80	26.30	28.70	11.00	10.80	27.60	81.55	34.20	16.47	29.68	26.35	17.79	8.85	36.29	25.05	21.57	27.87	24.77	34.90	106.47	20.55	27.25	8.43	10.00	51.60	49.67	140	2	1
25	23.10	28.50	30.90	10.30	11.20	29.60	85.41	34.99	18.11	33.52	25.31	20.93	8.12	36.25	27.15	24.81	28.76	25.39	38.58	109.53	21.46	28.74	9.74	10.24	55.25	52.73	178	2	1
27	21.40	26.50	28.40	10.20	11.40	31.00	82.49	32.40	17.65	32.82	29.46	21.61	7.81	38.25	27.54	27.41	28.33	24.52	38.04	111.99	23.46	27.65	10.79	10.98	53.79	51.96	154	1	1
28	22.90	28.00	30.80	10.40	11.60	28.80	77.69	32.60	18.36	30.60	26.59	20.13	8.29	35.58	23.26	22.12	28.20	23.05	37.50	107.02	20.03	23.63	8.82	10.74	49.90	47.58	146	2	1
30	19.70	23.80	25.00	8.70	10.30	27.40	76.34	30.81	16.41	31.46	25.89	17.79	8.05	36.19	24.23	22.21	27.47	24.66	33.99	98.68	19.94	25.59	9.20	9.57	48.28	46.52	112	2	1
31	21.00	26.30	27.20	10.20	11.20	28.80	79.86	31.53	17.19	29.96	25.46	20.47	8.81	36.29	23.44	23.23	26.26	21.49	36.36	101.82	20.34	21.50	9.00	9.96	51.04	48.88	141	1	1
33	17.60	21.50	22.60	7.60	8.80	23.10	67.70	27.03	14.05	26.34	22.04	17.74	8.54	29.11	20.46	16.95	21.75	21.96	29.21	84.23	16.08	24.23	7.58	8.84	41.32	39.62	80	1	2
34	18.60	24.40	26.00	8.80	9.70	25.90	73.89	31.63	15.19	30.15	24.23	17.37	7.61	33.02	20.48	17.14	26.68	21.39	31.81	95.43	17.28	24.23	7.95	8.53	45.02	43.46	113	1	2
35	19.30	25.60	27.50	9.90	9.90	27.10	78.75	33.85	15.91	31.05	25.17	18.46	8.54	32.24	23.33	19.84	26.20	22.15	32.95	100.19	18.54	24.23	8.14	8.71	45.46	43.35	125	2	2
36	17.80	23.20	23.90	7.50	9.20	24.30	69.94	31.40	15.16	26.66	21.67	17.54	8.17	32.15	21.42	19.28	23.37	20.64	29.92	92.17	17.83	23.29	7.58	8.71	44.03	42.65	94	2	2
38	18.40	23.40	24.60	8.70	8.90	25.30	76.23	30.36	14.77	28.05	23.22	16.29	8.10	29.87	21.75	19.12	23.63	20.08	30.31	94.60	16.86	23.48	7.39	8.34	42.66	40.79	103	2	2
39	17.80	23.80	24.80	8.40	8.80	24.50	70.74	28.61	14.72	29.86	24.53	17.18	8.01	30.21	22.38	20.84	24.76	19.63	28.69	89.08	16.27	21.32	6.61	8.87	40.45	38.78	90	2	2
40	19.00	24.70	24.70	8.50	10.20	26.90	75.24	31.00	14.78	30.90	23.87	17.74	8.41	35.24	23.79	22.42	26.79	22.73	32.57	100.19	18.91	23.67	7.96	9.47	44.68	43.36	115	2	2
41	20.30	25.80	27.80	9.60	10.50	27.20	79.46	32.54	16.67	31.97	25.66	18.81	9.00	34.02	23.62	20.17	24.06	22.59	33.34	101.55	19.05	24.62	7.41	9.28	46.32	43.65	130	1	2
43	19.50	25.00	25.60	9.40	10.50	26.90	72.40	30.36	16.30	30.90	27.02	16.91	7.73	33.00	22.69	20.09	26.30	21.85	34.47	98.40	17.81	25.19	8.18	8.90	47.83	46.11	117	2	1
44	17.30	22.40	22.90	6.80	9.30	23.60	68.29	26.98	13.98	26.26	20.38	15.56	8.38	29.02	21.75	18.22	23.63	20.75	29.44	87.22	17.44	21.32	8.15	9.25	43.00	40.88	80	2	1
45	20.00	25.20	27.30	8.80	10.80	27.10	75.56	35.31	16.67	31.60	24.43	18.94	7.81	35.58	24.09	22.50	26.05	24.05	36.77	105.61	18.55	26.89	8.16	8.52	48.84	47.02	133	1	1
46	17.70	23.00	24.50	7.80	9.30	24.70	70.63	27.37	15.60	27.01	25.01	19.55	7.61	31.07	21.96	18.14	23.43	21.98	28.41	89.27	16.59	21.08	7.77	8.15	39.23	37.39	97	1	1
47	20.00	23.80	26.70	8.20	10.40	26.90	76.59	30.70	15.15	29.67	25.39	18.58	8.47	32.95	22.06	21.97	25.80	22.59	32.59	92.53	18.49	24.24	7.77	9.09	46.80	44.07	106	1	1
48	19.10	25.00	27.10	8.70	10.50	25.80	80.11	31.11	16.30	30.61	24.65	20.40	7.29	32.22	21.44	21.06	25.48	22.38	32.95	97.39	17.71	25.38	7.99	9.09	46.06	44.25	124	1	1
49	19.30	24.00	25.60	8.70	10.30	26.60	76.27	31.07	15.55	27.71	23.16	18.36	8.47	32.59	23.23	19.89	23.28	22.56	34.10	97.45	18.79	24.62	8.52	8.71	45.72	43.66	114	2	1
50	21.90	28.70	31.20	10.60	11.60	29.30	85.01	35.10	18.19	29.87	26.53	21.10	8.79	35.81	25.95	22.93	28.71	25.39	38.64	108.55	20.62	26.89	8.71	10.61	49.71	47.49	161	1	1
51	17.60	23.40	27.70	7.90	9.00	21.50	63.47	27.08	14.07	24.81	21.84	17.16	6.69	25.89	19.00	18.11	22.33	19.03	28.94	82.25	14.67	20.91	6.38	7.60	40.45	38.95	74	1	1
52	17.90	22.70	24.20	8.70	9.60	24.00	68.99	28.41	14.40	25.48	23.11	17.73	7.05	29.52	22.17	19.88	24.64	20.50	29.92	89.08	16.89	21.78	7.42	8.52	42.98	41.08	87	2	1
53	16.80	20.40	20.60	6.90	8.90	23.20	61.12	26.09	12.93	25.33	20.54	15.89	7.64	29.51	19.05	15.29	24.58	19.77	27.38	84.00	16.67	20.15	7.41	8.56	38.78	37.22	68	2	1
54	17.30	20.70	21.50	7.40	8.60	22.50	66.53	27.59	14.39	25.66	24.62	16.89	7.24	28.46	20.13	18.19	23.59	19.89	26.15	85.07	16.27	20.64	6.46	8.52	39.95	37.85	78	1	1
55	20.80	27.90	28.40	8.90	12.00	29.50	79.64	31.43	16.29	33.95	24.69	19.77	8.47	36.29	25.98	23.88	28.40	24.64	37.50	107.43	21.71	26.52	9.33	10.23	53.29	51.63	133	2	1
56	17.10	21.40	21.00	6.80	8.70	22.20	64.57	26.74	13.26	24.92	21.97	14.88	6.54	26.20	18.97	18.91	20.42	20.07	26.51	81.53	15.50	19.13	6.46	7.76	37.14	35.58	64	2	1
57	17.80	21.60	22.00	7.80	9.00	23.90	68.98	28.72	14.02	27.44	22.38	17.18	6.91	30.42	21.05	20.38	23.91	20.65	28.41	89.14	17.02	21.78	7.21	8.52	40.62	39.08	78	2	1
58	17.40	21.40	22.60	7.40	9.00	24.00	70.81	28.81	14.39	27.96	26.15	18.58	6.98	30.70	21.23	20.38	25.02	21.41	29.93	87.64	17.81	21.21	8.16	9.10	41.08	39.42	89	2	1
59	15.80	19.10	20.70	7.40	8.70	21.30	62.38	25.80	12.88	25.18	19.41	14.62	6.62	27.11	19.99	16.36	22.20	19.52	25.77	83.99	15.60	20.27	8.22	7.20	38.62	37.44	64	1	1
60	18.10	22.70	23.50	8.00	9.10	24.40	71.51	31.53	14.78	27.34	23.11	16.72	7.35	30.04	22.90	19.94	25.47	19.32	30.12	90.03	17.56	21.97	9.40	7.77	42.07	40.33	89	1	1
85	19.20	24.20	25.70	9.50	9.80	24.60	74.65	29.71	15.44	29.06	24.40	19.09	8.49	33.19	22.88	21.47	24.28	20.59	33.83	97.58	16.31	25.00	7.54	8.27	46.31	43.91	119	1	1
87	20.30	25.60	26.70	9.30	9.70	25.50	76.30	32.06	15.81	30.47	27.27	20.60	9.73	33.84	25.52	21.59	24.63	19.85	33.46	96.55	18.26	23.90	7.90	9.01	46.18	44.10	112	1	1
88	21.40	26.10	27.20	9.20	11.10	25.90	74.58	30.31	16.11	28.60	23.08	18.18	8.86	32.63	22.03	21.50	26.57	20.89	34.79	94.11	17.36	23.07	7.14	8.97	43.56	41.52	133	2	1
89	18.10	23.10	23.30	7.80	9.90	21.80	63.43	26.72	14.41	22.60	20.62	15.87	9.02	27.51	19.12	15.61	21.57	17.65	31.62	81.29	14.99	20.77	6.07	8.46	38.84	36.80	120	1	1
92	19.20	24.80	26.10	9.50	10.20	27.30	77.64	31.87	16.54	29.41	25.00	19.35	9.73	35.12	23.95	21.01	26.86	22.06	33.46	94.31	19.94	22.24	7.90	9.37	43.61	41.64	76	2	1
93	18.90	22.90	23.90	8.30	9.40	24.00	69.64	28.72	15.02	29.09	23.45	20.79	8.19	31.17	21.69	19.12	24.44	20.51	31.14	89.44	17.35	23.99	7.33	8.79	43.13	40.55	128	2	1
94	21.70	26.80	27.60	9.60	10.70	29.70	84.23	33.58	16.87	32.07	27.13	21.44	9.70	34.87	24.33	21.55	27.69	22.34	36.63	102.38	20.73	21.06	9.16	9.52	47.28	44.95	94	1	1
95	19.00	23.20	25.20	8.30	9.40	23.50	63.63	28.32	13.92	25.32	22.03	17.37	8.55	27.14	18.77	17.29	20.68	19.05	29.34	87.14	15.57	25.11	7.69	8.97	43.15	40.62	154	2	1
124	17.60	21.70	23.10	7.50	8.50	22.90	66.51	27.75	13.61	27.37	20.69	16.32	8.42	28.19	20.71	18.08	22.91	18.82	30.55	87.36	16.00	21.91	6.19	8.34	43.69	41.23	92	2	1
125	17.00	20.40	20.80	7.30	8.70	22.90	67.28	27.37	14.10	26.36	21.41	17.57	8.80	31.11	22.08	17.78	23.40	18.88	28.79	85.93	16.07	22.91	6.50	8.82	40.95	38.42	79	2	1
126	16.50	20.60	21.80	7.10	9.00	22.70	67.21	26.96	14.29	25.66	20.53	15.44	7.68	28.73	19.89	17.68	23.60	21.04	29.19	86.16	15.78	24.84	6.85	8.38	43.07	40.54	70	2	1
127	17.70	21.20	22.10	7.30	9.20	25.50	70.45	30.40	14.12	28.45	21.83	16.82	8.94	31.96	24.20	20.56	23.02	19.95	31.41	94.15	18.80	22.91	8.33	9.29	49.30	47.15	73	2	1
131	17.70	22.70	23.50	8.00	8.40	23.00	71.49	31.25	14.00	28.06	21.17	17.59	7.07	31.70	20.71	21.22	23.22	21.37	31.33	91.59	16.14	23.67	6.70	8.33	45.05	42.66	84	2	1
132	16.90	20.90	22.00	7.50	8.00	23.40	64.42	27.69	13.91	27.60	21.53	17.28	7.68	30.94	21.56	18.04	24.46	21.19	29.82	86.57	16.86	22.69	6.97	7.96	43.19	41.26	80	1	1
133	17.90	22.70	23.20	7.20	8.80	23.80	68.90	26.50	15.00	26.57	22.68	18.36	6.87	28.76	20.38	18.07	23.21	24.03	31.00	90.17	15.84	24.67	6.34	8.17	42.95	40.89	70	1	1
134	19.70	25.20	26.60	8.70	9.60	27.20	83.67	34.25	16.78	31.07	23.38	20.28	8.06	33.33	24.11	23.81	25.36	22.27	34.59	100.37	20.02	25.68	8.56	9.60	50.37	48.05	83	1	1
135	19.00	24.90	24.40	8.40	9.50	27.10	74.68	31.57	16.24	29.56	23.13	18.40	9.13	33.25	23.34	20.51	24.63	23.88	34.49	98.22	18.05	25.86	7.45	9.31	49.79	48.12	122	2	1
136	19.60	25.10	26.70	8.50	9.90	28.10	77.28	30.63	16.61	31.85	24.95	18.32	7.89	35.40	24.22	22.81	27.39	24.23	36.67	100.01	20.36	26.12	8.15	9.35	49.74	48.20	100	2	1
