     work domestic travel sleep meals  free
TRm 25.90     2.99   7.29 33.89 11.25 18.68
BEm 21.04     9.38   7.15 33.40 10.76 18.26
DEm 21.18     7.78   6.32 33.33  9.79 21.60
FRm 23.89     7.85   4.86 35.00 12.36 16.04
HUm 23.26     9.23   5.01 34.93 10.24 17.32
FIm 23.06     8.26   5.35 34.17  7.99 21.18
SEm 22.01     9.93   6.39 32.78  8.68 20.21
UKm 23.75     7.92   6.67 34.10  7.99 19.58
NOm 20.56     9.17   5.76 32.85  8.19 23.47
EEm 20.83     9.72   5.56 34.86  9.10 19.93
ITm 25.90     4.86   6.94 33.19 11.94 17.15
ESm 25.76     5.56   5.76 34.38 10.49 18.06
LTm 27.15     6.88   5.35 33.89  9.93 16.81
LVm 27.85     5.97   6.32 34.44  8.89 16.53
PLm 25.69     7.85   5.21 33.26  9.31 18.68
SIm 22.22    10.00   5.14 33.75  8.82 20.07
TRf 18.39    16.86   4.79 33.80 10.69 15.48
BEf 16.18    16.11   6.25 34.44 10.83 16.18
DEf 16.11    13.26   6.04 34.10 10.49 20.00
FRf 18.89    15.28   4.51 35.97 12.29 13.06
HUf 19.65    16.25   4.31 34.58  9.79 15.42
FIf 18.06    13.96   5.28 34.86  8.47 19.38
SEf 17.01    14.72   6.11 33.68  9.93 18.54
UKf 17.08    14.44   6.46 35.07  8.82 18.12
NOf 15.69    14.31   5.35 33.82  8.47 22.36
EEf 17.57    16.94   5.21 34.93  8.75 16.60
ITf 19.38    16.04   6.11 33.33 11.39 13.75
ESf 20.62    14.51   5.69 34.10 10.28 14.79
LTf 24.65    14.17   4.65 34.24  9.44 12.85
LVf 24.03    13.06   5.97 34.79  8.75 13.40
PLf 19.87    16.54   4.86 33.91  9.31 15.50
SIf 18.26    18.33   4.79 34.17  8.47 15.97
