Species,Stage,Season,14:0,15:0,16:0,16:1(n-7),16:1(n-5),16:2(n-4),17:0,16:3(n-4),16:4(n-1),18:0,18:1(n-9),18:1(n-7),18:2(n-6),18:3(n-3),18:4(n-3),20:1(n-11),20:1(n-9),20:1(n-7),20:4(n-6),20:4(n-3),20:5(n-3),22:1(n-11),22:1(n-9),22:1(n-7),22:5(n-3),24:1(n-9),22:6(n-3)
C.guilelmi,F,Summer,1.1471,0,4.4584,7.4595,0.2188,0.1906,0,0.5277,0.7692,0.6283,28.3282,2.7737,1.5424,0.5043,0.7923,9.249,16.2165,1.3063,0.2514,0.4113,2.9366,14.1466,2.1415,0.1728,0.5494,0.3738,2.9042
C.guilelmi,F,Summer,4.6795,0,7.4466,6.3431,0,0.2415,0,0.3479,0.2559,0.7453,14.4302,2.2916,1.9094,1.289,10.0692,2.5199,12.1019,1.5926,0.5027,0.948,8.6986,10.676,2.78,0.4162,0.654,0.7737,8.2873
C.guilelmi,F,Summer,0.9734,0,5.7633,8.9316,0.2075,0.3495,0.0831,0.3847,1.0607,0.5931,29.8405,3.3264,1.5188,0.399,0.5949,0,11.3646,1.9058,0.4395,0.505,3.3015,19.4399,3.805,0.4481,1.1946,0.7168,2.8526
C.guilelmi,M,Summer,0.2467,0,4.2784,8.2221,0.1681,0.4379,0,0.3577,0.4917,0.4062,18.9031,2.2743,1.7415,0.5913,0.7005,5.7223,17.1047,1.2633,0.4744,0.4904,4.6856,20.414,3.6184,0.4815,1.0045,0.9066,5.0148
C.guilelmi,M,Summer,4.4386,0,10.0636,4.2334,0.2812,0,0,0,0.0841,1.0313,14.0829,1.6721,1.5168,0.336,1.8141,3.6782,21.2222,1.1386,0.2994,0,2.5481,20.9606,5.7728,0.354,0,1.6623,2.8098
C.guilelmi,M,Summer,2.1209,0.0358,7.6355,19.5457,0.1527,0.401,0.0802,0.2622,0.4103,0.6334,23.1176,4.3282,0.9171,0.4644,0.485,6.1775,10.7952,2.7799,0.3179,0.2525,3.9964,8.4173,2.6891,0.5113,0.3925,0.3933,2.6868
C.guilelmi,F,Winter,2.7973,0.0332,5.7757,9.3199,0.3264,0.4819,0.0796,0.3648,0.2599,0.6189,13.203,2.1129,1.1669,0.6426,6.7372,2.8347,16.5979,2.055,0.354,0.75,6.8667,14.2461,4.173,0.485,0.8433,0.655,6.2188
C.guilelmi,F,Winter,3.2124,0.0732,16.1777,8.3088,0.3964,0.406,0.0996,0.3036,0.1032,1.1396,15.5182,4.0373,1.7232,0.7311,1.9175,1.6,10.5761,1.0593,0.6349,0.5043,9.4988,7.6328,3.3896,0.3985,0.4041,0.779,9.375
C.guilelmi,F,Winter,3.5036,0.0641,9.9208,7.1523,0.6372,0.4136,0.1006,0.2971,0.1455,0.7569,14.5397,2.4929,3.2237,3.0722,8.3462,2.7395,7.5039,1.5242,0.4752,0.8131,10.6405,6.235,2.012,0.3005,1.1135,0.4416,11.5346
T.abyssorum,F,Summer,3.8816,0,19.3691,4.5623,0.3479,0.2331,0.2591,0.4231,0.2558,1.547,21.752,3.7197,1.548,1.283,2.7013,3.7808,7.5905,0.6394,0.3043,0.5832,10.1521,3.6793,0.7067,0.1731,0.2892,0.3106,9.9078
