"SampleID"	"StratUnit"	"Si"	"Ti"	"Al"	"Fe"	"Mg"	"Ca"	"Na"	"K"	"P"	"Rb"	"Nb"	"Zr"	"Th"	"V"	"Cr"	"Co"	"Ni"	"La"	"Er"	"Yb"	"Y"	"Ga"
1	"eJF"	6525.83120715395	128.96634103709	631.612338786345	1148.48811621648	8286.93641389029	108.778224382728	122.622297186754	50.9575778164678	56.3600466897899	0.0842422526378355	0.736225004138575	0.488906428132947	0.0387867337303658	1.19745197923108	18.8091029904166	1.9360903531456	26.7832499054408	0.333320134911865	0.0029893578859261	0.00254276467868701	0.0674871226134163	0.0444616554078281
2	"eJF"	6003.2321255303	137.731043826018	466.843902581211	1108.41001401481	9021.34754518117	372.699162229347	12.9076102301846	16.9858592721559	39.4520326828529	0.0351009385990981	0.612444484436914	0.367227922476541	0.024564931362565	1.15819125860055	18.8091029904166	1.72059212803649	28.078114404686	0.316042201352718	0.0016142532584001	0.00109801202034212	0.0427418443218303	0.0358561737159904
3	"eJF"	5783.54079185411	140.235244622855	776.765484967058	1073.34167458835	8368.81333055448	615.22110511543	12.9076102301846	42.4646481803898	81.7220677001953	0.0596715956184668	0.782508154983544	0.588660878716127	0.0383557700222507	1.27597342049213	19.7322491494554	1.62387245220012	23.5290509665482	0.484502053554395	0.00310893220136315	0.0027161349976884	0.0764854056285385	0.0444616554078281
4	"eJF"	6013.21809524285	142.739445419692	588.458700732619	1058.31238626273	8594.59513105269	481.477386612075	51.6304409207386	29.7252537262729	67.6320560277479	0.0491413140387374	0.846012943352222	0.572217837411208	0.0452511893520935	1.25634306017687	17.6359380799714	1.86312638716377	26.7321368331022	0.379394624402921	0.00209255052014827	0.00202265372168285	0.0584888395982942	0.0545013840483054
5	"eJF"	5776.88347871241	147.747847013365	772.842426962173	1014.47696197966	8530.08604519606	647.319597556235	58.0842460358309	29.7252537262729	73.2680606967268	0.0479712827521008	0.86861634260209	0.678549504516355	0.0478369716007845	1.35449486175319	22.6363131080985	1.55769583189102	25.4202346430774	0.464344464402058	0.00280999641277054	0.00254276467868701	0.0674871226134163	0.0530671370996658
6	"eJF"	5868.42153441082	148.999947411783	596.304816742388	1092.12828499538	8872.48042397356	429.763148790778	32.2690255754616	21.2323240901949	50.7240420208109	0.0362709698857347	0.75667569869798	0.513022888713496	0.0400796248547114	1.37412522206845	21.0592717530738	1.68326172683649	27.0558529579135	0.34771841287782	0.00215233767786679	0.00144475265834489	0.0506153419600622	0.0602383718428639
7	"eJF"	5866.75720612539	125.210039841835	627.689280781461	904.262180925078	8329.11543156578	768.580568999276	6.45380511509232	25.4787889082339	61.9960513587689	0.050311345325374	0.738377708829038	0.514119091467158	0.0374938426060203	1.13856089828529	18.0205823129042	1.70362376385467	24.2787093608481	0.370755657623348	0.00251106062417793	0.00225381414701803	0.0562392688445136	0.0573698779455847
8	"eJF"	5925.00869611529	150.252047810202	725.765730903564	1129.70150580945	8468.05807802622	479.694137032031	6.45380511509232	29.7252537262729	70.4500583622373	0.050311345325374	0.889067037161495	0.61606594755766	0.0474060078926694	1.19745197923108	19.4822303980491	1.64084081638194	23.8186917098004	0.470823689486737	0.00292957072820758	0.00254276467868701	0.0663623372365261	0.0602383718428639
9	"eJF"	5806.84138785007	220.369670121629	513.920598639821	1142.22591274747	7999.12664622225	699.033835377532	6.45380511509232	29.7252537262729	59.1780490242794	0.0596715956184668	0.864310933221163	0.514119091467158	0.0271507136112561	1.55079846490582	18.8091029904166	1.79016242118195	24.7557647026753	0.339079446098247	0.00221212483558532	0.00208044382801664	0.0449914150756109	0.0387246676132697
10	"eJF"	5971.60988810721	138.983144224437	486.459192605632	1053.30262348752	7810.56162602594	1089.56549340733	96.8070767263848	93.4222259968576	64.8140536932584	0.181354849428674	0.786813564364471	0.555774796106288	0.0362009514816748	1.2956037808074	17.9051890430244	1.71719845520012	27.0899283394726	0.370755657623348	0.00209255052014827	0.00167591308368007	0.0539896980907331	0.0415931615105489
